Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
BT36 7GA,54.658481,-5.924935,146956,536343,NW469363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7GU,54.658481,-5.924935,146956,536343,NW469363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HA,54.648582,-5.925625,146850,535245,NW468352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HB,54.64925,-5.927869,146709,535327,NW467353,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HD,54.650231,-5.927478,146740,535435,NW467354,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HE,54.648899,-5.928398,146673,535290,NW466352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HF,54.648034,-5.928225,146678,535193,NW466351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HG,54.649216,-5.925918,146835,535316,NW468353,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HH,54.647586,-5.923584,146975,535127,NW469351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HJ,54.647814,-5.925385,146860,535158,NW468351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HL,54.648047,-5.924831,146897,535182,NW468351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HN,54.648004,-5.923873,146959,535174,NW469351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HQ,54.649462,-5.926107,146824,535344,NW468353,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HR,54.654179,-5.923465,147024,535859,NW470358,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HT,54.645576,-5.921131,147121,534894,NW471348,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HY,54.653273,-5.932514,146435,535791,NW464357,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7HZ,54.649867,-5.931944,146450,535410,NW464354,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JA,54.651343,-5.93207,146451,535575,NW464355,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JB,54.652572,-5.932503,146431,535713,NW464357,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JD,54.651934,-5.930382,146564,535635,NW465356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JE,54.652365,-5.930856,146536,535684,NW465356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JF,54.652148,-5.931316,146505,535662,NW465356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JG,54.649676,-5.930233,146559,535383,NW465353,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JH,54.648378,-5.932577,146400,535247,NW463352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JJ,54.646534,-5.935088,146227,535051,NW462350,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JL,54.652749,-5.933889,146343,535738,NW463357,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JN,54.647671,-5.934317,146283,535175,NW462351,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JP,54.648924,-5.929326,146613,535296,NW466352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JQ,54.648772,-5.932511,146407,535291,NW464352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JR,54.648302,-5.929188,146618,535226,NW466352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JS,54.650276,-5.931117,146506,535453,NW465354,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JT,54.650742,-5.930024,146579,535501,NW465355,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JU,54.651194,-5.930203,146571,535552,NW465355,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JW,54.648227,-5.931144,146491,535225,NW464352,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JX,54.65217,-5.929456,146625,535657,NW466356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JY,54.652335,-5.929664,146612,535677,NW466356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7JZ,54.651563,-5.928123,146707,535585,NW467355,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LA,54.65601,-5.922333,147108,536059,NW471360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LB,54.658403,-5.922521,147111,536326,NW471363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LE,54.65601,-5.922333,147108,536059,NW471360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LG,54.659423,-5.924344,147000,536445,NW469364,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LH,54.663469,-5.930787,146609,536919,NW466369,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LJ,54.661399,-5.930614,146608,536688,NW466366,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LL,54.656243,-5.92336,147043,536088,NW470360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LN,54.668753,-5.943494,145824,537552,NW458375,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LP,54.662026,-5.926304,146889,536742,NW468367,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LQ,54.665069,-5.930287,146652,537095,NW466370,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LR,54.667472,-5.931622,146581,537367,NW465373,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LS,54.667824,-5.933294,146475,537412,NW464374,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LT,54.661036,-5.9304,146619,536647,NW466366,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LU,54.655484,-5.923615,147022,536005,NW470360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LX,54.655291,-5.930692,146565,536009,NW465360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LY,54.655407,-5.928563,146703,536014,NW467360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7LZ,54.654992,-5.926337,146844,535960,NW468359,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NA,54.657086,-5.927408,146788,536197,NW467361,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NB,54.657264,-5.927337,146793,536216,NW467362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7ND,54.657123,-5.927499,146782,536201,NW467362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NE,54.657086,-5.927408,146788,536197,NW467361,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NF,54.654782,-5.927184,146788,535940,NW467359,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NG,54.656039,-5.928732,146696,536085,NW466360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NH,54.657185,-5.934826,146310,536235,NW463362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NJ,54.655251,-5.93308,146410,536013,NW464360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NL,54.658027,-5.936225,146225,536333,NW462363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NN,54.659321,-5.938344,146096,536485,NW460364,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NP,54.659388,-5.93752,146150,536489,NW461364,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NQ,54.656158,-5.927796,146757,536095,NW467360,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NR,54.656815,-5.934736,146313,536193,NW463361,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NS,54.657577,-5.937255,146156,536287,NW461362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NT,54.656938,-5.936683,146189,536214,NW461362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NU,54.65704,-5.93581,146246,536222,NW462362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NW,54.658203,-5.935518,146272,536350,NW462363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NX,54.656893,-5.937166,146157,536210,NW461362,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NY,54.658288,-5.937854,146122,536368,NW461363,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7NZ,54.659377,-5.936916,146189,536486,NW461364,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7PE,54.652128,-5.9375,146106,535682,NW461356,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7PG,54.650194,-5.938977,145999,535472,NW459354,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT36 7PH,54.648955,-5.938497,146022,535333,NW460353,,,, ,,Northern Ireland,,,,,,,,,,,,,
