Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH1 1AD,55.948974,-3.192799,325608,673524,NT256735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/06/2009,,,,0,0,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1BB,55.951966,-3.189945,325792,673854,NT257738,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 03",Large urban area,
EH1 1BD,55.952331,-3.187506,325945,673892,NT259738,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 03",Large urban area,
EH1 1BE,55.951966,-3.189945,325792,673854,NT257738,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 03",Large urban area,
EH1 1BJ,55.950816,-3.19095,325727,673727,NT257737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BL,55.950675,-3.191571,325688,673712,NT256737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/04/2012,,,,0,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BN,55.950787,-3.190149,325777,673723,NT257737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1992,,,,4,1,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BP,55.950741,-3.190259,325770,673718,NT257737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,29,18,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BQ,55.952636,-3.191294,325709,673930,NT257739,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,2,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BS,55.950725,-3.189138,325840,673715,NT258737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,57,28,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BU,55.95093,-3.188424,325885,673737,NT258737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,17,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1BX,55.950889,-3.188887,325856,673733,NT258737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DD,55.949676,-3.187072,325967,673596,NT259735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/08/2009,,,,,,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1DE,55.950741,-3.190259,325770,673718,NT257737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,8,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DF,55.951265,-3.189987,325788,673776,NT257737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DH,55.951156,-3.185436,326072,673759,NT260737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,44,25,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DR,55.950939,-3.184676,326119,673734,NT261737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,53,26,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DT,55.950944,-3.184116,326154,673734,NT261737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,33,19,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1DY,55.950889,-3.188887,325856,673733,NT258737,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1EE,55.947965,-3.192144,325647,673411,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,13,5,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1EG,55.948464,-3.192495,325626,673467,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1EJ,55.948016,-3.191521,325686,673416,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,30,12,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1EL,55.947704,-3.191175,325707,673381,NT257733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,4,2,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1EN,55.94734,-3.191692,325674,673341,NT256733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1ES,55.947313,-3.191643,325677,673338,NT256733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1EY,55.946537,-3.190162,325768,673250,NT257732,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,7,5,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1EZ,55.945893,-3.189838,325787,673178,NT257731,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,36,18,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HA,55.945893,-3.189838,325787,673178,NT257731,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HB,55.946277,-3.189226,325826,673220,NT258732,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,50,8,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HD,55.946574,-3.189123,325833,673253,NT258732,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,84,39,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HE,55.946513,-3.188929,325845,673246,NT258732,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,40,16,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HJ,55.948327,-3.187143,325960,673446,NT259734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/08/2014,,,,,,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1HN,55.948947,-3.18721,325957,673515,NT259735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,23,11,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HR,55.948203,-3.186947,325972,673432,NT259734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1HT,55.948013,-3.18811,325899,673412,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1HU,55.947392,-3.190973,325719,673346,NT257733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,19,13,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JF,55.946996,-3.189184,325830,673300,NT258733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JG,55.948316,-3.188279,325889,673446,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,66,37,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JH,55.948504,-3.188381,325883,673467,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/10/1989,,,,18,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JJ,55.948758,-3.188133,325899,673495,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JN,55.948467,-3.191343,325698,673466,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JQ,55.948501,-3.187789,325920,673466,NT259734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/10/1992,,,,0,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JR,55.947941,-3.19272,325611,673409,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,5,0,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1JS,55.948148,-3.18994,325785,673429,NT257734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/06/1996,,,,0,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JT,55.948405,-3.189371,325821,673457,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/06/1996,,,,354,0,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JU,55.948022,-3.193683,325551,673419,NT255734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/10/2004,,,,39,20,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1JW,55.948178,-3.191462,325690,673434,NT256734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,5,3,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1JX,55.94814,-3.193494,325563,673432,NT255734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1JY,55.947715,-3.193818,325542,673385,NT255733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1JZ,55.947914,-3.188972,325845,673402,NT258734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,,,,,"Old Town, Princes Street and Leith Street - 05",Large urban area,
EH1 1LA,55.947924,-3.190749,325734,673405,NT257734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/02/1994,,,,,,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1LB,55.947924,-3.190749,325734,673405,NT257734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/02/1994,,,,,,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1LD,55.947924,-3.190749,325734,673405,NT257734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/02/1994,,,,,,,,"Old Town, Princes Street and Leith Street - 01",Large urban area,
EH1 1LG,55.949291,-3.186868,325979,673553,NT259735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,28,20,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LL,55.948907,-3.186696,325989,673510,NT259735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,135,50,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LS,55.94763,-3.185888,326037,673367,NT260733,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,31,20,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LT,55.948103,-3.185278,326076,673419,NT260734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,21,11,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LU,55.948115,-3.184942,326097,673420,NT260734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/10/2009,,,,10,5,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LW,55.95049,-3.191213,325710,673691,NT257736,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/08/2013,,,,,,,,"Old Town, Princes Street and Leith Street - 04",Large urban area,
EH1 1LY,55.948789,-3.185812,326044,673496,NT260734,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/03/1983,,,,179,11,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1LZ,55.948974,-3.184424,326131,673515,NT261735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,38,36,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
EH1 1NA,55.948974,-3.184424,326131,673515,NT261735,,City of Edinburgh,City Centre, S12000036,S13002593,Scotland,S99999999,Edinburgh East,01/01/1980,,,,0,0,,,"Old Town, Princes Street and Leith Street - 06",Large urban area,
