Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
BT34 3RN,54.112605,-6.26289,121494,476929,SB214769,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RP,54.102145,-6.24674,122479,475702,SB224757,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RQ,54.106871,-6.250439,122269,476242,SB222762,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RR,54.101511,-6.246415,122496,475631,SB224756,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RS,54.104332,-6.242045,122800,475927,SB228759,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RT,54.101567,-6.237285,123093,475601,SB230756,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RU,54.101706,-6.226623,123790,475575,SB237755,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RW,54.112266,-6.261819,121562,476887,SB215768,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RX,54.108733,-6.235819,123237,476392,SB232763,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RY,54.111356,-6.241243,122900,476705,SB228767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3RZ,54.114544,-6.244228,122726,477071,SB227770,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SA,54.11021,-6.250773,122270,476615,SB222766,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SB,54.107049,-6.247236,122479,476249,SB224762,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SD,54.10727,-6.24822,122417,476278,SB224762,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SE,54.107088,-6.248656,122387,476259,SB223762,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SF,54.105454,-6.245667,122571,476066,SB225760,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SG,54.103892,-6.253806,122029,475924,SB220759,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SH,54.110141,-6.244827,122657,476584,SB226765,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SJ,54.110711,-6.243855,122725,476643,SB227766,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SL,54.111256,-6.244887,122661,476708,SB226767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SN,54.111256,-6.244887,122661,476708,SB226767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SQ,54.102964,-6.253616,122035,475820,SB220758,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SR,54.108434,-6.185478,126523,476162,SB265761,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3ST,54.112073,-6.262179,121537,476867,SB215768,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SU,54.112757,-6.254779,122025,476914,SB220769,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SW,54.111256,-6.244887,122661,476708,SB226767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SX,54.124656,-6.264268,121485,478274,SB214782,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SY,54.110904,-6.258359,121779,476722,SB217767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3SZ,54.110676,-6.260616,121630,476705,SB216767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TA,54.099734,-6.202078,125381,475260,SB253752,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TB,54.099516,-6.195957,125780,475212,SB257752,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TD,54.102428,-6.252002,122137,475755,SB221757,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TE,54.103803,-6.250767,122227,475903,SB222759,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TG,54.102367,-6.236074,123177,475685,SB231756,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TH,54.133708,-6.257111,122013,479252,SB220792,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TJ,54.109428,-6.260087,121656,476565,SB216765,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TL,54.111249,-6.261127,121600,476771,SB216767,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TN,54.105399,-6.24807,122414,476069,SB224760,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TP,54.109225,-6.257833,121802,476533,SB218765,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TR,54.102777,-6.232831,123392,475718,SB233757,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TS,54.103057,-6.242711,122748,475788,SB227757,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TT,54.120234,-6.26667,121298,477792,SB212777,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TU,54.104363,-6.231892,123464,475891,SB234758,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TW,54.106019,-6.247448,122459,476136,SB224761,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TX,54.105278,-6.183567,126627,475804,SB266758,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3TY,54.108416,-6.259029,121718,476448,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UB,54.104134,-6.2519,122155,475944,SB221759,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UD,54.13324,-6.258293,121933,479205,SB219792,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UE,54.108864,-6.259606,121683,476500,SB216764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UF,54.108864,-6.259606,121683,476500,SB216764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UG,54.108099,-6.258277,121765,476410,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UH,54.11889,-6.262597,121555,477626,SB215776,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UJ,54.108099,-6.258277,121765,476410,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UL,54.12933,-6.260706,121749,478779,SB217787,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UN,54.108099,-6.258277,121765,476410,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UP,54.108416,-6.259029,121718,476448,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UQ,54.096529,-5.933806,142891,473894,SB428738,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3US,54.108416,-6.259029,121718,476448,SB217764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UT,54.12933,-6.260706,121749,478779,SB217787,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3UY,54.12933,-6.260706,121749,478779,SB217787,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WD,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WE,54.132063,-6.2577,121964,479071,SB219790,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WJ,54.132063,-6.2577,121964,479071,SB219790,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WL,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WP,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WQ,54.108268,-6.263148,121448,476448,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WR,54.099784,-6.251227,122170,475458,SB221754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WU,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WW,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WX,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WY,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3WZ,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3XA,54.102662,-6.234747,123266,475713,SB232757,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3XB,54.103613,-6.235272,123238,475820,SB232758,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3YA,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3YB,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 3YD,54.10843,-6.263141,121450,476466,SB214764,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AA,54.062896,-6.006185,137949,470420,SB379704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AB,54.067426,-6.028623,136510,471007,SB365710,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AD,54.063334,-6.004973,138031,470464,SB380704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AE,54.063181,-6.002246,138208,470437,SB382704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AF,54.064228,-6.003051,138162,470556,SB381705,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AG,54.063184,-6.000245,138339,470430,SB383704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AH,54.068815,-6.00222,138245,471063,SB382710,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AJ,54.065017,-5.999729,138384,470632,SB383706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AL,54.0677,-5.998989,138450,470928,SB384709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AN,54.066689,-6.00087,138320,470822,SB383708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AP,54.066993,-5.998045,138507,470845,SB385708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AQ,54.065298,-6.000922,138308,470668,SB383706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AR,54.062137,-6.005397,137996,470333,SB379703,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AS,54.06075,-6.004684,138033,470176,SB380701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AT,54.060999,-6.002366,138187,470195,SB381701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AU,54.059114,-5.995996,138591,469962,SB385699,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AW,54.068988,-6.005618,138024,471095,SB380710,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AX,54.061227,-5.994458,138705,470191,SB387701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AY,54.068013,-6.005879,138001,470988,SB380709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4AZ,54.069077,-6.007187,137922,471111,SB379711,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BA,54.067309,-6.006768,137939,470913,SB379709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BB,54.064803,-6.006857,137917,470635,SB379706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BD,54.06139,-5.998284,138456,470223,SB384702,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BE,54.111349,-5.895586,145480,475403,SB454754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BF,54.07421,-5.980952,139670,471585,SB396715,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BG,54.111401,-5.896011,145452,475410,SB454754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BH,54.061867,-6.009152,137748,470317,SB377703,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BJ,54.061156,-5.999884,138350,470203,SB383702,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BL,54.059374,-6.002963,138137,470017,SB381700,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BN,54.05752,-6.005511,137959,469820,SB379698,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BP,54.059789,-6.005234,137991,470071,SB379700,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BQ,54.111837,-5.897305,145370,475463,SB453754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BS,54.060979,-6.007652,137841,470212,SB378702,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BT,54.061501,-6.005534,137983,470263,SB379702,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BU,54.059663,-6.005744,137957,470059,SB379700,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BW,54.059366,-6.007332,137852,470032,SB378700,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BX,54.06038,-6.006749,137896,470142,SB378701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BY,54.058637,-6.006206,137921,469947,SB379699,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4BZ,54.05822,-6.004912,138003,469895,SB380698,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DA,54.057167,-6.002611,138147,469770,SB381697,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DB,54.056421,-6.001516,138213,469683,SB382696,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DD,54.058687,-6.015749,137297,469988,SB372699,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DE,54.058917,-6.012806,137491,470002,SB374700,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DF,54.060338,-6.012906,137493,470161,SB374701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DG,54.111481,-5.898531,145288,475428,SB452754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DH,54.06283,-6.001132,138279,470394,SB382703,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DJ,54.107961,-6.044636,135721,475574,SB357755,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DL,54.065722,-6.009701,137737,470747,SB377707,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DN,54.063979,-6.008623,137796,470549,SB377705,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DP,54.065472,-6.008185,137834,470714,SB378707,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DQ,54.112481,-5.899199,145251,475542,SB452755,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DR,54.065185,-6.009848,137724,470688,SB377706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DS,54.064646,-6.010424,137683,470630,SB376706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DT,54.066455,-6.014386,137435,470846,SB374708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DU,54.067023,-6.015061,137394,470912,SB373709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DW,54.064188,-6.009866,137716,470577,SB377705,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DX,54.066459,-6.025507,136708,470888,SB367708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DY,54.066575,-6.024401,136781,470897,SB367708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4DZ,54.065729,-6.025954,136674,470809,SB366708,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EA,54.065399,-6.025542,136699,470770,SB366707,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EB,54.064353,-6.025882,136670,470655,SB366706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4ED,54.063943,-6.024404,136764,470604,SB367706,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EE,54.062299,-6.021152,136966,470409,SB369704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EF,54.059642,-6.02137,136935,470115,SB369701,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EG,54.054184,-6.012925,137453,469476,SB374694,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EH,54.057386,-6.014238,137387,469837,SB373698,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EJ,54.052726,-6.009528,137666,469302,SB376693,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EL,54.065365,-6.023466,136834,470759,SB368707,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EN,54.112257,-5.89765,145350,475511,SB453755,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EP,54.054359,-6.005052,137969,469467,SB379694,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EQ,54.053078,-6.011283,137553,469347,SB375693,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4ER,54.063812,-6.021951,136924,470581,SB369705,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4ES,54.067399,-6.021475,136977,470977,SB369709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4ET,54.067091,-6.029006,136483,470971,SB364709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EU,54.065049,-6.031073,136335,470752,SB363707,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EW,54.111956,-5.896412,145429,475473,SB454754,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EX,54.068043,-6.040494,135738,471120,SB357711,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EY,54.062484,-6.02038,137018,470427,SB370704,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4EZ,54.066646,-6.027636,136570,470917,SB365709,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FA,54.072663,-5.981943,139596,471416,SB395714,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FD,54.059073,-5.994088,138716,469950,SB387699,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FE,54.109594,-5.903657,144942,475237,SB449752,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FF,54.082825,-5.947386,141918,472419,SB419724,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FG,54.059262,-5.995148,138648,469975,SB386699,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT34 4FH,54.061611,-6.020849,136982,470332,SB369703,,,, ,,Northern Ireland,,,,,,,,,,,,,
