Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G53 5QB,55.832424,-4.342053,253409,662391,NS534623,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/01/1980,,,,36,16,,,Pollok North and East - 01,Large urban area,
G53 5QD,55.832251,-4.340781,253488,662369,NS534623,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/01/1980,,,,,,,,Pollok North and East - 01,Large urban area,
G53 5QT,55.833406,-4.358402,252389,662535,NS523625,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,53,20,,,Pollok North and East - 05,Large urban area,
G53 5QU,55.834568,-4.35967,252314,662667,NS523626,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,28,13,,,Pollok North and East - 05,Large urban area,
G53 5QX,55.834978,-4.362186,252158,662718,NS521627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,47,20,,,Pollok North and East - 05,Large urban area,
G53 5QY,55.835648,-4.360566,252262,662789,NS522627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,104,42,,,Pollok North and East - 05,Large urban area,
G53 5QZ,55.834838,-4.360596,252257,662699,NS522626,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,13,4,,,Pollok North and East - 05,Large urban area,
G53 5RA,55.83539,-4.359943,252300,662759,NS523627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,8,4,,,Pollok North and East - 05,Large urban area,
G53 5RB,55.83596,-4.359259,252345,662821,NS523628,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,5,3,,,Pollok North and East - 05,Large urban area,
G53 5RD,55.83726,-4.358044,252426,662963,NS524629,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/01/1980,,,,9,5,,,Pollok North and East - 04,Large urban area,
G53 5RH,55.838841,-4.35806,252431,663139,NS524631,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/12/2000,,,,29,8,,,Pollok North and East - 04,Large urban area,
G53 5RJ,55.839404,-4.357775,252451,663201,NS524632,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/06/2001,,,,33,8,,,Pollok North and East - 04,Large urban area,
G53 5RL,55.839443,-4.359486,252344,663209,NS523632,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/06/2001,,,,117,46,,,Pollok North and East - 04,Large urban area,
G53 5RP,55.837134,-4.356168,252543,662945,NS525629,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/01/1980,,,,51,17,,,Pollok North and East - 04,Large urban area,
G53 5RQ,55.839335,-4.359016,252373,663196,NS523631,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/06/2001,,,,75,30,,,Pollok North and East - 04,Large urban area,
G53 5RR,55.836927,-4.356666,252511,662923,NS525629,,Glasgow City,Craigton, S12000046,S13002644,Scotland,S99999999,Glasgow South West,01/01/1980,,,,54,21,,,Pollok North and East - 02,Large urban area,
G53 5RS,55.836058,-4.358371,252401,662830,NS524628,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,17,12,,,Pollok North and East - 04,Large urban area,
G53 5RT,55.83548,-4.35899,252360,662767,NS523627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,46,20,,,Pollok North and East - 05,Large urban area,
G53 5RU,55.835151,-4.358348,252399,662729,NS523627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,13,7,,,Pollok North and East - 05,Large urban area,
G53 5RX,55.834879,-4.359401,252332,662701,NS523627,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,41,21,,,Pollok North and East - 05,Large urban area,
G53 5RY,55.833892,-4.355557,252569,662583,NS525625,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,19,13,,,Pollok North and East - 05,Large urban area,
G53 5SA,55.832999,-4.351957,252791,662476,NS527624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,22,21,,,Pollok North and East - 05,Large urban area,
G53 5SB,55.832999,-4.351957,252791,662476,NS527624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,38,37,,,Pollok North and East - 05,Large urban area,
G53 5SD,55.833659,-4.351278,252836,662548,NS528625,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,66,22,,,Pollok North and East - 05,Large urban area,
G53 5SL,55.832591,-4.354967,252601,662437,NS526624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,55,22,,,Pollok North and East - 07,Large urban area,
G53 5SN,55.83293,-4.355083,252595,662475,NS525624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,67,24,,,Pollok North and East - 05,Large urban area,
G53 5SP,55.83225,-4.357294,252454,662404,NS524624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,24,7,,,Pollok North and East - 07,Large urban area,
G53 5SR,55.831152,-4.355487,252563,662278,NS525622,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,28,13,,,Pollok North and East - 07,Large urban area,
G53 5SS,55.830927,-4.353637,252678,662249,NS526622,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,12,4,,,Pollok North and East - 07,Large urban area,
G53 5ST,55.830644,-4.355743,252545,662222,NS525622,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,41,15,,,Pollok North and East - 07,Large urban area,
G53 5SU,55.829816,-4.3544,252626,662127,NS526621,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,44,16,,,Pollok North and East - 07,Large urban area,
G53 5SW,55.833444,-4.356871,252485,662536,NS524625,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,29,10,,,Pollok North and East - 05,Large urban area,
G53 5SX,55.83072,-4.356451,252501,662232,NS525622,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,66,21,,,Pollok North and East - 07,Large urban area,
G53 5SZ,55.832035,-4.361481,252191,662389,NS521623,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,59,22,,,Pollok North and East - 07,Large urban area,
G53 5TA,55.832176,-4.359269,252330,662400,NS523624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,61,22,,,Pollok North and East - 07,Large urban area,
G53 5TB,55.832337,-4.362106,252153,662424,NS521624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,7,4,,,Pollok North and East - 07,Large urban area,
G53 5TD,55.832545,-4.35926,252332,662441,NS523624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,57,25,,,Pollok North and East - 07,Large urban area,
G53 5TE,55.832789,-4.358732,252366,662467,NS523624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,7,3,,,Pollok North and East - 07,Large urban area,
G53 5TF,55.832921,-4.360273,252270,662485,NS522624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,12,6,,,Pollok North and East - 07,Large urban area,
G53 5TG,55.832483,-4.361093,252217,662438,NS522624,,Glasgow City,Greater Pollok, S12000046,S13002643,Scotland,S99999999,Glasgow South West,01/01/1980,,,,11,4,,,Pollok North and East - 07,Large urban area,
