Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
BT54 6DU,55.19961,-6.257399,129191,597754,NW291977,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6DW,55.200387,-6.264025,128775,597866,NW287978,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6DX,55.198396,-6.261709,128909,597636,NW289976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6DY,55.198914,-6.259,129085,597683,NW290976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6DZ,55.198793,-6.260576,128984,597675,NW289976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EA,55.196454,-6.264118,128743,597429,NW287974,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EB,55.197348,-6.263199,128807,597525,NW288975,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6ED,55.204505,-6.244823,130024,598249,NW300982,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EE,55.198168,-6.259567,129044,597602,NW290976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EF,55.197512,-6.260208,128998,597532,NW289975,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EG,55.200582,-6.260043,129030,597872,NW290978,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EH,55.199135,-6.264425,128741,597729,NW287977,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EJ,55.200595,-6.261581,128932,597880,NW289978,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EL,55.198941,-6.262172,128883,597698,NW288976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EN,55.208218,-6.250613,129681,598685,NW296986,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EP,55.208385,-6.257267,129259,598729,NW292987,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EQ,55.198191,-6.264372,128738,597623,NW287976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6ER,55.207384,-6.25951,129110,598627,NW291986,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6ES,55.1988,-6.253524,129432,597649,NW294976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6ET,55.195948,-6.262051,128871,597365,NW288973,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EU,55.204996,-6.245869,129961,598308,NW299983,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EW,55.19847,-6.258093,129139,597630,NW291976,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EX,55.195032,-6.263944,128744,597270,NW287972,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT54 6EY,55.19979,-6.259307,129071,597781,NW290977,,,, ,,Northern Ireland,,,,,,,,,,,,,
