Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8DD,55.837573,-4.163535,264606,662600,NS646626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1986,,,,209,70,,,Shettleston South - 02,Large urban area,
G32 8DE,55.838232,-4.165935,264458,662678,NS644626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/1987,,,,54,19,,,Shettleston South - 02,Large urban area,
G32 8DF,55.838241,-4.166958,264394,662681,NS643626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/1987,,,,37,14,,,Shettleston South - 02,Large urban area,
G32 8DG,55.830015,-4.151762,265317,661736,NS653617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/03/1985,,,,36,15,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8DH,55.83858,-4.16506,264514,662715,NS645627,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1986,,,,47,14,,,Shettleston South - 01,Large urban area,
G32 8DJ,55.831861,-4.160774,264759,661959,NS647619,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,24,8,,,Carmyle and Mount Vernon South - 04,Large urban area,
G32 8DL,55.831569,-4.158954,264872,661923,NS648619,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,27,7,,,Shettleston South - 03,Large urban area,
G32 8DN,55.831385,-4.158672,264889,661902,NS648619,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,49,14,,,Shettleston South - 03,Large urban area,
G32 8DP,55.830593,-4.15874,264882,661814,NS648618,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,12,6,,,Shettleston South - 03,Large urban area,
G32 8DQ,55.837499,-4.16468,264534,662594,NS645625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1986,,,,40,15,,,Shettleston South - 02,Large urban area,
G32 8DR,55.830233,-4.159295,264846,661775,NS648617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,35,13,,,Shettleston South - 03,Large urban area,
G32 8DS,55.830402,-4.162961,264617,661801,NS646618,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/12/1995,,,,89,34,,,Shettleston South - 03,Large urban area,
G32 8DT,55.828531,-4.16051,264764,661588,NS647615,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,51,31,,,Shettleston South - 03,Large urban area,
G32 8DU,55.828221,-4.160269,264778,661553,NS647615,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,77,39,,,Shettleston South - 03,Large urban area,
G32 8DW,55.830762,-4.160378,264780,661836,NS647618,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,67,27,,,Shettleston South - 03,Large urban area,
G32 8DX,55.828505,-4.16252,264638,661589,NS646615,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,1,1,,,Shettleston South - 03,Large urban area,
G32 8DY,55.829124,-4.161533,264702,661656,NS647616,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,18,9,,,Shettleston South - 03,Large urban area,
G32 8DZ,55.828848,-4.160895,264741,661624,NS647616,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,21,12,,,Shettleston South - 03,Large urban area,
G32 8EA,55.829578,-4.16127,264720,661706,NS647617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,41,25,,,Shettleston South - 03,Large urban area,
G32 8EB,55.830999,-4.157613,264954,661857,NS649618,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,15,4,,,Shettleston South - 03,Large urban area,
G32 8ED,55.830422,-4.157756,264943,661793,NS649617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,15,6,,,Shettleston South - 03,Large urban area,
G32 8EE,55.829876,-4.157614,264950,661732,NS649617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,33,23,,,Shettleston South - 03,Large urban area,
