Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH4 6DB,55.96439,-3.308202,318434,675370,NT184753,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,24,11,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DD,55.9643,-3.307366,318486,675359,NT184753,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,4,2,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DE,55.967674,-3.301039,318888,675727,NT188757,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,53,21,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DF,55.96837,-3.301447,318864,675805,NT188758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,96,16,,,Cramond - 03,Large urban area,
EH4 6DG,55.968558,-3.304946,318646,675830,NT186758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,21,6,,,Cramond - 03,Large urban area,
EH4 6DH,55.966415,-3.314631,318037,675603,NT180756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/05/1992,,,,26,9,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DJ,55.966068,-3.311815,318212,675561,NT182755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,34,12,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DL,55.965524,-3.308833,318397,675497,NT183754,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/07/1989,,,,56,36,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DN,55.965629,-3.312554,318165,675513,NT181755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,52,14,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DP,55.965221,-3.315391,317987,675471,NT179754,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,3,2,,,"Dalmeny, Kirkliston and Newbridge - 06",Accessible rural area,
EH4 6DQ,55.96659,-3.308292,318433,675615,NT184756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,6,2,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DR,55.965324,-3.316645,317909,675484,NT179754,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,2,1,,,"Dalmeny, Kirkliston and Newbridge - 06",Large urban area,
EH4 6DS,55.966325,-3.318825,317775,675598,NT177755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,3,2,,,"Dalmeny, Kirkliston and Newbridge - 06",Accessible rural area,
EH4 6DU,55.965723,-3.31967,317721,675532,NT177755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/09/1994,,,,9,5,,,"Dalmeny, Kirkliston and Newbridge - 06",Large urban area,
EH4 6DW,55.966715,-3.316035,317950,675638,NT179756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,8,7,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6DX,55.964447,-3.317976,317824,675388,NT178753,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,10,3,,,"Dalmeny, Kirkliston and Newbridge - 06",Large urban area,
EH4 6DZ,55.96367,-3.315002,318008,675298,NT180752,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,7,3,,,"Dalmeny, Kirkliston and Newbridge - 06",Large urban area,
EH4 6EA,55.962798,-3.31595,317947,675202,NT179752,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,"Dalmeny, Kirkliston and Newbridge - 06",Large urban area,
EH4 6EB,55.965844,-3.30745,318484,675531,NT184755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/04/1989,,,,43,33,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6ED,55.965993,-3.306109,318568,675546,NT185755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/02/1983,,,,19,8,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6EE,55.960864,-3.30174,318830,674970,NT188749,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,"Barnton, Cammo and Cramond South - 03",Large urban area,
EH4 6EH,55.962012,-3.30282,318765,675099,NT187750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,61,44,,,"Barnton, Cammo and Cramond South - 03",Large urban area,
EH4 6EJ,55.961875,-3.304689,318648,675086,NT186750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,107,56,,,"Barnton, Cammo and Cramond South - 03",Large urban area,
EH4 6EL,55.961318,-3.300425,318913,675019,NT189750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/09/1993,,,,65,54,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6EN,55.961664,-3.299139,318994,675056,NT189750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,41,17,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6EP,55.961685,-3.295456,319224,675054,NT192750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,53,23,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6EQ,55.96128,-3.303147,318743,675018,NT187750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,41,14,,,"Barnton, Cammo and Cramond South - 03",Large urban area,
EH4 6ER,55.961154,-3.296367,319166,674996,NT191749,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,41,17,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6ES,55.962125,-3.29036,319543,675097,NT195750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,91,35,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6ET,55.962641,-3.28916,319619,675153,NT196751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,46,15,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6EW,55.961268,-3.299238,318987,675012,NT189750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,19,4,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
